index,count,mean,std,min,25%,50%,75%,max
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei|t__Bacteroides_dorei_unclassified,1682.0,2.3826428656361474,5.194968072582984,0.00021,0.07875750000000001,0.51053,2.0905625,49.71978
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,1666.0,2.3159909723889553,3.4899293671724227,0.00015,0.2479125,1.0328149999999998,2.906195,40.06964
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens|t__GCF_000146185,1666.0,2.3159909723889553,3.4899293671724227,0.00015,0.2479125,1.0328149999999998,2.906195,40.06964
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia,1662.0,2.594598273164862,8.754861753001242,0.001,0.038645000000000006,0.19865,1.0677375,98.94998000000001
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella,1649.0,0.7977804972710735,3.338329311445845,9e-05,0.011479999999999999,0.05148,0.21056,53.77
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,1641.0,0.4308699268738574,0.9913566673202125,0.0002,0.06656000000000001,0.22232,0.5462100000000001,33.18184
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,1641.0,0.4308699268738574,0.9913566673202125,0.0002,0.06656000000000001,0.22232,0.5462100000000001,33.18184
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,1641.0,0.4308699268738574,0.9913566673202125,0.0002,0.06656000000000001,0.22232,0.5462100000000001,33.18184
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes,1629.0,0.13155599754450584,0.34317359411864656,8e-05,0.00926,0.03457,0.11216,4.33641
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,1625.0,1.3701893415384614,3.2256495300454997,8e-05,0.13724,0.42458999999999997,1.22617,36.58788
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__GCF_000155875,1624.0,0.7627607943349753,1.0397602950594806,0.00023999999999999998,0.1674575,0.41569,0.9928275000000001,11.040519999999999
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,1624.0,0.7627607943349753,1.0397602950594806,0.00023999999999999998,0.1674575,0.41569,0.9928275000000001,11.040519999999999
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA,1623.0,0.07298870609981516,0.1766620649161716,0.00011999999999999999,0.011115,0.027719999999999998,0.06892999999999999,2.57828
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA|t__GCF_000242155,1623.0,0.07298870609981516,0.1766620649161716,0.00011999999999999999,0.011115,0.027719999999999998,0.06892999999999999,2.57828
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis,1623.0,0.46788617375231056,0.8255634421468369,0.00014,0.051559999999999995,0.1748,0.521635,10.98119
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__GCF_000225345,1623.0,0.46788617375231056,0.8255634421468369,0.00014,0.051559999999999995,0.1748,0.521635,10.98119
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified,1621.0,1.364385768044417,3.2289230435432796,8e-05,0.13614,0.41781,1.21586,36.58788
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465,1609.0,3.4564337973896833,4.113029067434305,0.0003,0.43846,2.21912,4.97069,42.50466
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,1609.0,3.4564337973896833,4.113029067434305,0.0003,0.43846,2.21912,4.97069,42.50466
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified,1605.0,0.47238251090342687,2.1355665873102967,5.9999999999999995e-05,0.00725,0.02095,0.08187,37.20596
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,1583.0,3.4503390145293746,5.261118635156387,0.00011,0.07172,1.50796,4.504455,61.92295
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,1583.0,0.6445639039797852,1.228606090980386,0.00047999999999999996,0.08081,0.25551999999999997,0.69716,26.61427
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii|t__GCF_000209875,1583.0,3.4503390145293746,5.261118635156387,0.00011,0.07172,1.50796,4.504455,61.92295
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,1574.0,0.263816372299873,0.7891098026520565,0.00016999999999999999,0.027367500000000003,0.076235,0.217605,18.45093
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,1568.0,1.342603724489796,2.5276074698298006,0.0001,0.0628075,0.37684,1.4509725,31.62585
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis|t__Roseburia_intestinalis_unclassified,1568.0,1.3380546237244897,2.5273576907388993,0.0001,0.0628075,0.374245,1.42551,31.62585
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila,1556.0,0.35470544987146524,0.6658962785210303,0.0002,0.047212500000000004,0.170165,0.46067500000000006,17.95778
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__Parabacteroides_distasonis_unclassified,1555.0,0.9656907073954983,2.058132420245669,0.00015,0.05618,0.29113,1.02534,31.482709999999997
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis,1555.0,0.9656907073954983,2.058132420245669,0.00015,0.05618,0.29113,1.02534,31.482709999999997
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified,1553.0,0.3116944945267225,0.6248126919868079,0.0002,0.04106,0.15207,0.39735,17.9534
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,1548.0,2.630327183462532,8.686153183240185,0.00043,0.0433875,0.210445,1.1797475,98.94998000000001
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified,1548.0,2.630327183462532,8.686153183240185,0.00043,0.0433875,0.210445,1.1797475,98.94998000000001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,1548.0,0.1966084496124031,0.7657380361512952,0.0001,0.009245,0.031259999999999996,0.093695,12.9392
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__GCF_000210575,1547.0,0.7722641952165482,1.197833770923574,0.00021,0.11202999999999999,0.36623,0.9812050000000001,17.265079999999998
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,1547.0,0.7722641952165482,1.197833770923574,0.00021,0.11202999999999999,0.36623,0.9812050000000001,17.265079999999998
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,1544.0,0.447165103626943,1.3690091289529218,0.00023999999999999998,0.0246625,0.088415,0.3338125,21.889039999999998
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__Bacteroides_xylanisolvens_unclassified,1540.0,0.4431504025974026,1.3667930497336556,0.00023999999999999998,0.0245175,0.088305,0.33269,21.889039999999998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname,1522.0,0.23582555190538765,0.7348145531455681,0.00021,0.026505,0.07567499999999999,0.20901999999999998,18.42738
